workOrderId,workOrderNo,workOrderStatus,workOrderQuantityPlanned
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T10-000630245,T10-000630245,completed,99.0
T20-000959712,T20-000959712,completed,430.0
T10-000630253,T10-000630253,completed,99.0
T23-000029299,T23-000029299,completed,99.0
T23-000029298,T23-000029298,completed,99.0
T10-000630267,T10-000630267,completed,99.0
T10-000630265,T10-000630265,completed,99.0
T20-000959709,T20-000959709,completed,198.0
T10-000630260,T10-000630260,completed,99.0
T10-000630258,T10-000630258,completed,99.0
T10-000630257,T10-000630257,completed,99.0
T20-000959690,T20-000959690,completed,99.0
T20-000959680,T20-000959680,completed,99.0
T20-000959687,T20-000959687,completed,99.0
T20-000959679,T20-000959679,completed,99.0
T20-000959686,T20-000959686,completed,99.0
T20-000959678,T20-000959678,completed,99.0
T20-000959711,T20-000959711,completed,198.0
T20-000959685,T20-000959685,completed,99.0
T20-000959677,T20-000959677,completed,99.0
T20-000959710,T20-000959710,completed,198.0
T20-000959684,T20-000959684,completed,99.0
T10-000630253,T10-000630253,completed,99.0
T20-000959714,T20-000959714,completed,198.0
T20-000959713,T20-000959713,completed,198.0
T20-000959703,T20-000959703,completed,99.0
T20-000959702,T20-000959702,completed,99.0
T10-000630259,T10-000630259,completed,99.0
T10-000630255,T10-000630255,completed,99.0
T10-000630254,T10-000630254,completed,99.0
T10-000630252,T10-000630252,completed,99.0
T10-000630253,T10-000630253,completed,99.0
T10-000630253,T10-000630253,completed,99.0
T10-000630253,T10-000630253,completed,99.0
T10-000630253,T10-000630253,completed,99.0
T10-000630253,T10-000630253,completed,99.0
T20-000959646,T20-000959646,completed,99.0
T20-000959644,T20-000959644,completed,99.0
T20-000959642,T20-000959642,completed,198.0
T20-000959653,T20-000959653,completed,198.0
T20-000959632,T20-000959632,completed,198.0
T20-000959647,T20-000959647,completed,198.0
T20-000959643,T20-000959643,completed,396.0
T20-000959629,T20-000959629,completed,396.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T10-000630247,T10-000630247,released,99.0
T20-000959652,T20-000959652,completed,99.0
T20-000959651,T20-000959651,completed,198.0
T20-000959650,T20-000959650,completed,198.0
T20-000959645,T20-000959645,completed,198.0
T20-000959631,T20-000959631,completed,198.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T10-000630246,T10-000630246,completed,99.0
T20-000959672,T20-000959672,completed,99.0
T20-000959671,T20-000959671,completed,99.0
T20-000959669,T20-000959669,completed,99.0
T20-000959668,T20-000959668,completed,99.0
T20-000959666,T20-000959666,completed,99.0
T20-000959663,T20-000959663,completed,99.0
T20-000959664,T20-000959664,completed,99.0
T20-000959667,T20-000959667,completed,99.0
T20-000959670,T20-000959670,completed,99.0
T20-000959665,T20-000959665,completed,198.0
T10-000630241,T10-000630241,released,198.0
T10-000630241,T10-000630241,completed,198.0
T10-000630241,T10-000630241,completed,198.0
T10-000630241,T10-000630241,completed,198.0
T10-000630241,T10-000630241,completed,198.0
T10-000630241,T10-000630241,completed,198.0
T20-000959630,T20-000959630,completed,198.0
T20-000959675,T20-000959675,completed,99.0
T20-000959676,T20-000959676,completed,99.0
T10-000630263,T10-000630263,completed,99.0
T20-000959715,T20-000959715,completed,198.0
T10-000630242,T10-000630242,released,198.0
T10-000630242,T10-000630242,completed,198.0
T10-000630242,T10-000630242,completed,198.0
T10-000630242,T10-000630242,completed,198.0
T10-000630242,T10-000630242,completed,198.0
T20-000959633,T20-000959633,completed,198.0
T10-000630266,T10-000630266,completed,99.0
T10-000630264,T10-000630264,completed,99.0
T20-000959708,T20-000959708,completed,99.0
T20-000959707,T20-000959707,completed,99.0
T20-000959706,T20-000959706,completed,99.0
T20-000959705,T20-000959705,completed,99.0
T20-000959701,T20-000959701,completed,198.0
T10-000630262,T10-000630262,completed,99.0
T20-000959700,T20-000959700,completed,99.0
T20-000959699,T20-000959699,completed,99.0
T20-000959696,T20-000959696,completed,99.0
T20-000959683,T20-000959683,completed,99.0
T10-000630244,T10-000630244,completed,99.0
T10-000630244,T10-000630244,completed,99.0
T10-000630261,T10-000630261,completed,99.0
T20-000959698,T20-000959698,completed,99.0
T20-000959697,T20-000959697,completed,99.0
T20-000959695,T20-000959695,completed,99.0
T20-000959682,T20-000959682,completed,99.0
T10-000630243,T10-000630243,completed,99.0
T10-000630243,T10-000630243,completed,99.0
T20-000959693,T20-000959693,completed,99.0
T10-000630256,T10-000630256,completed,99.0
T10-000630263,T10-000630263,completed,99.0
T20-000959704,T20-000959704,completed,99.0
T20-000959694,T20-000959694,completed,99.0
T10-000630263,T10-000630263,completed,99.0
T10-000630263,T10-000630263,completed,99.0
T10-000630263,T10-000630263,completed,99.0
T10-000630263,T10-000630263,completed,99.0
T10-000630263,T10-000630263,completed,99.0
T10-000630110,T10-000630110,completed,100.0
T20-000959294,T20-000959294,completed,30.0
T20-000959293,T20-000959293,completed,30.0
T20-000959285,T20-000959285,completed,30.0
T20-000959298,T20-000959298,completed,30.0
T20-000959304,T20-000959304,completed,30.0
T10-000630102,T10-000630102,completed,30.0
T20-000959303,T20-000959303,completed,10.0
T10-000630097,T10-000630097,released,10.0
T10-000630097,T10-000630097,completed,10.0
T10-000630097,T10-000630097,completed,10.0
T20-000959292,T20-000959292,completed,5.0
T20-000959314,T20-000959314,completed,10.0
T10-000630107,T10-000630107,completed,10.0
T10-000630106,T10-000630106,completed,10.0
T23-000029283,T23-000029283,completed,10.0
T23-000029281,T23-000029281,completed,10.0
T20-000959286,T20-000959286,completed,10.0
T20-000959316,T20-000959316,completed,10.0
T10-000630093,T10-000630093,released,10.0
T10-000630093,T10-000630093,completed,10.0
T10-000630093,T10-000630093,completed,10.0
T10-000630093,T10-000630093,completed,10.0
T10-000630093,T10-000630093,completed,10.0
T20-000959287,T20-000959287,completed,10.0
T20-000959315,T20-000959315,completed,10.0
T10-000630092,T10-000630092,released,10.0
T10-000630092,T10-000630092,completed,10.0
T10-000630092,T10-000630092,completed,10.0
T10-000630092,T10-000630092,completed,10.0
T10-000630092,T10-000630092,completed,10.0
T10-000630103,T10-000630103,completed,10.0
T10-000630099,T10-000630099,completed,10.0
T10-000630099,T10-000630099,completed,10.0
T10-000630099,T10-000630099,completed,10.0
T10-000630099,T10-000630099,completed,10.0
T10-000630099,T10-000630099,completed,10.0
T10-000630096,T10-000630096,released,10.0
T10-000630096,T10-000630096,completed,10.0
T10-000630096,T10-000630096,completed,10.0
T10-000630096,T10-000630096,completed,10.0
T20-000959290,T20-000959290,completed,10.0
T10-000630095,T10-000630095,released,10.0
T10-000630095,T10-000630095,completed,10.0
T20-000959289,T20-000959289,completed,10.0
T10-000630108,T10-000630108,completed,10.0
T20-000959310,T20-000959310,completed,10.0
T10-000630100,T10-000630100,completed,10.0
T10-000630100,T10-000630100,completed,10.0
T20-000959309,T20-000959309,completed,10.0
T10-000630109,T10-000630109,completed,10.0
T23-000029284,T23-000029284,completed,10.0
T23-000029282,T23-000029282,completed,10.0
T20-000959296,T20-000959296,completed,10.0
T20-000959295,T20-000959295,completed,10.0
T10-000630094,T10-000630094,released,10.0
T10-000630094,T10-000630094,completed,10.0
T10-000630094,T10-000630094,completed,10.0
T10-000630094,T10-000630094,completed,10.0
T10-000630094,T10-000630094,completed,10.0
T10-000630094,T10-000630094,completed,10.0
T20-000959288,T20-000959288,completed,10.0
T10-000630098,T10-000630098,completed,10.0
T10-000630098,T10-000630098,completed,10.0
T10-000630098,T10-000630098,completed,10.0
T10-000630098,T10-000630098,completed,10.0
T20-000959307,T20-000959307,completed,10.0
T20-000959299,T20-000959299,completed,10.0
T10-000630105,T10-000630105,completed,10.0
T20-000959317,T20-000959317,completed,10.0
T20-000959308,T20-000959308,completed,10.0
T10-000630104,T10-000630104,completed,10.0
T10-000630101,T10-000630101,released,10.0
T10-000630101,T10-000630101,completed,10.0
T20-000959291,T20-000959291,completed,10.0
T20-000959297,T20-000959297,completed,10.0
T20-000959301,T20-000959301,completed,10.0
T20-000959300,T20-000959300,completed,10.0
T20-000959302,T20-000959302,completed,10.0
T20-000959313,T20-000959313,completed,10.0
T20-000959312,T20-000959312,completed,10.0
T20-000959311,T20-000959311,completed,10.0
T10-000630112,T10-000630112,completed,10.0
T10-000630111,T10-000630111,completed,10.0
T10-000631388,T10-000631388,completed,20.0
T10-000631389,T10-000631389,completed,30.0
T23-000029285,T23-000029285,completed,280.0
T23-000029286,T23-000029286,completed,280.0
T10-000630501,T10-000630501,completed,100.0
T20-000960246,T20-000960246,completed,100.0
T20-000960245,T20-000960245,completed,100.0
T20-000960244,T20-000960244,completed,100.0
T20-000960243,T20-000960243,completed,100.0
T10-000630507,T10-000630507,completed,150.0
T10-000632219,T10-000632219,completed,1.0
T10-000632220,T10-000632220,completed,2.0
T10-000632218,T10-000632218,completed,1.0
T10-000632217,T10-000632217,completed,1.0
T10-000632216,T10-000632216,completed,1.0
T10-000632214,T10-000632214,completed,1.0
T10-000632215,T10-000632215,completed,3.0
T10-000632215,T10-000632215,completed,3.0
T10-000632226,T10-000632226,completed,2.0
T10-000632226,T10-000632226,completed,2.0
T10-000632226,T10-000632226,completed,2.0
T10-000632225,T10-000632225,completed,1.0
T10-000632225,T10-000632225,completed,1.0
T10-000632222,T10-000632222,completed,2.0
T20-000963326,T20-000963326,completed,2.0
T10-000632223,T10-000632223,completed,11.0
T20-000963327,T20-000963327,completed,11.0
T10-000632221,T10-000632221,completed,2.0
T20-000963329,T20-000963329,completed,20.0
T10-000632224,T10-000632224,completed,2.0
T20-000963328,T20-000963328,completed,2.0
T10-000631536,T10-000631536,completed,30.0
T10-000631537,T10-000631537,completed,30.0
T10-000629554,T10-000629554,completed,20.0
T10-000629552,T10-000629552,completed,100.0
T10-000630484,T10-000630484,completed,20.0
T10-000629560,T10-000629560,completed,30.0
T10-000629558,T10-000629558,completed,150.0
T10-000630486,T10-000630486,completed,30.0
T20-000966693,T20-000966693,in_progress,75.0
T10-000629770,T10-000629770,released,6.0
T10-000629770,T10-000629770,completed,6.0
T20-000958731,T20-000958731,completed,6.0
T20-000958730,T20-000958730,completed,12.0
T20-000958751,T20-000958751,completed,6.0
T20-000958743,T20-000958743,completed,6.0
T20-000958750,T20-000958750,completed,12.0
T20-000958739,T20-000958739,completed,12.0
T20-000958748,T20-000958748,completed,12.0
T20-000958747,T20-000958747,completed,6.0
T20-000958746,T20-000958746,completed,12.0
T20-000958744,T20-000958744,completed,6.0
T20-000958742,T20-000958742,completed,12.0
T10-000629758,T10-000629758,released,6.0
T10-000629758,T10-000629758,completed,6.0
T10-000629758,T10-000629758,completed,6.0
T10-000629758,T10-000629758,completed,6.0
T20-000958733,T20-000958733,completed,6.0
T10-000629757,T10-000629757,released,12.0
T10-000629757,T10-000629757,completed,12.0
T20-000958732,T20-000958732,completed,12.0
T10-000629756,T10-000629756,released,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T10-000629756,T10-000629756,completed,6.0
T20-000958729,T20-000958729,completed,6.0
T10-000629755,T10-000629755,released,6.0
T10-000629755,T10-000629755,completed,6.0
T10-000629755,T10-000629755,completed,6.0
T20-000958728,T20-000958728,completed,6.0
T10-000629754,T10-000629754,released,6.0
T10-000629754,T10-000629754,completed,6.0
T10-000629754,T10-000629754,completed,6.0
T10-000629754,T10-000629754,completed,6.0
T10-000629754,T10-000629754,completed,6.0
T10-000629754,T10-000629754,completed,6.0
T20-000958727,T20-000958727,completed,6.0
T10-000629752,T10-000629752,released,12.0
T10-000629752,T10-000629752,completed,12.0
T10-000629752,T10-000629752,completed,12.0
T10-000629752,T10-000629752,completed,12.0
T10-000629752,T10-000629752,completed,12.0
T10-000629752,T10-000629752,completed,12.0
T10-000629752,T10-000629752,completed,12.0
T20-000958725,T20-000958725,completed,12.0
T10-000629751,T10-000629751,released,12.0
T10-000629751,T10-000629751,completed,12.0
T20-000958724,T20-000958724,completed,12.0
T10-000629750,T10-000629750,released,6.0
T10-000629750,T10-000629750,completed,6.0
T20-000958723,T20-000958723,completed,6.0
T10-000629749,T10-000629749,released,6.0
T10-000629749,T10-000629749,completed,6.0
T10-000629749,T10-000629749,completed,6.0
T20-000958722,T20-000958722,completed,6.0
T10-000629748,T10-000629748,released,6.0
T10-000629748,T10-000629748,completed,6.0
T20-000958721,T20-000958721,completed,6.0
T10-000629744,T10-000629744,released,12.0
T10-000629744,T10-000629744,completed,12.0
T20-000958717,T20-000958717,completed,2.0
T20-000958762,T20-000958762,completed,6.0
T10-000629765,T10-000629765,released,6.0
T10-000629765,T10-000629765,completed,6.0
T10-000629765,T10-000629765,completed,6.0
T10-000629765,T10-000629765,completed,6.0
T10-000629765,T10-000629765,completed,6.0
T10-000629765,T10-000629765,completed,6.0
T10-000629765,T10-000629765,completed,6.0
T10-000629765,T10-000629765,completed,6.0
T10-000629765,T10-000629765,completed,6.0
T20-000958741,T20-000958741,completed,6.0
T20-000958761,T20-000958761,completed,6.0
T20-000958755,T20-000958755,completed,6.0
T20-000958758,T20-000958758,completed,6.0
T20-000958759,T20-000958759,completed,6.0
T20-000958757,T20-000958757,completed,6.0
T20-000958760,T20-000958760,completed,6.0
T10-000629764,T10-000629764,released,6.0
T10-000629764,T10-000629764,completed,6.0
T20-000958740,T20-000958740,completed,6.0
T10-000629763,T10-000629763,released,6.0
T10-000629763,T10-000629763,completed,6.0
T20-000958738,T20-000958738,completed,6.0
T10-000629761,T10-000629761,released,6.0
T10-000629761,T10-000629761,completed,6.0
T20-000958736,T20-000958736,completed,6.0
T10-000629760,T10-000629760,released,12.0
T10-000629760,T10-000629760,completed,12.0
T10-000629760,T10-000629760,completed,12.0
T10-000629760,T10-000629760,completed,12.0
T10-000629760,T10-000629760,completed,12.0
T10-000629760,T10-000629760,completed,12.0
T20-000958735,T20-000958735,completed,12.0
T10-000629759,T10-000629759,released,12.0
T10-000629759,T10-000629759,completed,12.0
T10-000629759,T10-000629759,completed,12.0
T20-000958734,T20-000958734,completed,12.0
T20-000958754,T20-000958754,completed,6.0
T10-000629747,T10-000629747,released,6.0
T10-000629747,T10-000629747,completed,6.0
T10-000629747,T10-000629747,completed,6.0
T10-000629747,T10-000629747,completed,6.0
T10-000629747,T10-000629747,completed,6.0
T10-000629747,T10-000629747,completed,6.0
T10-000629747,T10-000629747,completed,6.0
T20-000958720,T20-000958720,completed,6.0
T20-000958753,T20-000958753,completed,6.0
T10-000629762,T10-000629762,released,12.0
T10-000629762,T10-000629762,completed,12.0
T10-000629762,T10-000629762,completed,12.0
T10-000629762,T10-000629762,completed,12.0
T10-000629762,T10-000629762,completed,12.0
T20-000958737,T20-000958737,completed,2.0
T10-000629746,T10-000629746,released,6.0
T10-000629746,T10-000629746,completed,6.0
T10-000629746,T10-000629746,completed,6.0
T10-000629746,T10-000629746,completed,6.0
T10-000629746,T10-000629746,completed,6.0
T10-000629746,T10-000629746,completed,6.0
T10-000629746,T10-000629746,completed,6.0
T20-000958719,T20-000958719,completed,6.0
T10-000629745,T10-000629745,released,12.0
T10-000629745,T10-000629745,completed,12.0
T10-000629745,T10-000629745,completed,12.0
T10-000629745,T10-000629745,completed,12.0
T10-000629745,T10-000629745,completed,12.0
T20-000958718,T20-000958718,completed,2.0
T10-000629767,T10-000629767,completed,6.0
T10-000629767,T10-000629767,completed,6.0
T10-000629767,T10-000629767,completed,6.0
T10-000629767,T10-000629767,completed,6.0
T10-000629767,T10-000629767,completed,6.0
T10-000629766,T10-000629766,completed,6.0
T10-000629766,T10-000629766,completed,6.0
T10-000629766,T10-000629766,completed,6.0
T10-000629766,T10-000629766,completed,6.0
T10-000629766,T10-000629766,completed,6.0
T20-000958756,T20-000958756,completed,6.0
T20-000958770,T20-000958770,completed,6.0
T20-000958772,T20-000958772,completed,6.0
T20-000958773,T20-000958773,completed,6.0
T20-000958774,T20-000958774,completed,6.0
T20-000958779,T20-000958779,completed,6.0
T20-000958780,T20-000958780,completed,6.0
T23-000029266,T23-000029266,completed,6.0
T20-000958777,T20-000958777,completed,6.0
T20-000958778,T20-000958778,completed,6.0
T20-000958766,T20-000958766,completed,6.0
T20-000958775,T20-000958775,completed,6.0
T20-000958776,T20-000958776,completed,6.0
T20-000958783,T20-000958783,completed,6.0
T20-000958784,T20-000958784,completed,6.0
T20-000958785,T20-000958785,completed,6.0
T10-000629769,T10-000629769,completed,6.0
T10-000629769,T10-000629769,completed,6.0
T10-000629769,T10-000629769,completed,6.0
T10-000629769,T10-000629769,completed,6.0
T10-000629769,T10-000629769,completed,6.0
T10-000629769,T10-000629769,completed,6.0
T20-000958752,T20-000958752,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T10-000629768,T10-000629768,completed,6.0
T20-000958745,T20-000958745,completed,12.0
T20-000958749,T20-000958749,completed,6.0
T10-000629779,T10-000629779,completed,6.0
T10-000629779,T10-000629779,completed,6.0
T20-000958764,T20-000958764,completed,6.0
T20-000958765,T20-000958765,completed,6.0
T20-000958767,T20-000958767,completed,6.0
T20-000958768,T20-000958768,completed,6.0
T20-000958769,T20-000958769,completed,6.0
T10-000629771,T10-000629771,completed,6.0
T10-000629772,T10-000629772,completed,6.0
T10-000629773,T10-000629773,completed,6.0
T10-000629778,T10-000629778,completed,6.0
T20-000958763,T20-000958763,completed,6.0
T20-000958771,T20-000958771,completed,6.0
T20-000958781,T20-000958781,completed,6.0
T20-000958782,T20-000958782,completed,6.0
T20-000958786,T20-000958786,completed,12.0
T10-000629753,T10-000629753,released,12.0
T10-000629753,T10-000629753,completed,12.0
T10-000629753,T10-000629753,completed,12.0
T20-000958726,T20-000958726,completed,12.0
T10-000629779,T10-000629779,completed,6.0
T10-000629779,T10-000629779,completed,6.0
T10-000629779,T10-000629779,completed,6.0
T10-000629779,T10-000629779,completed,6.0
T10-000629779,T10-000629779,completed,6.0
T10-000629777,T10-000629777,completed,6.0
T10-000629774,T10-000629774,completed,6.0
T10-000629775,T10-000629775,completed,6.0
T10-000629776,T10-000629776,completed,6.0
T20-000958806,T20-000958806,completed,200.0
T20-000958817,T20-000958817,completed,24.0
T20-000958815,T20-000958815,completed,24.0
T20-000958804,T20-000958804,completed,24.0
T20-000958816,T20-000958816,completed,200.0
T20-000958799,T20-000958799,completed,48.0
T20-000958796,T20-000958796,completed,24.0
T20-000958795,T20-000958795,completed,24.0
T20-000958794,T20-000958794,completed,48.0
T20-000958792,T20-000958792,completed,24.0
T20-000958821,T20-000958821,completed,24.0
T10-000629793,T10-000629793,released,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T10-000629793,T10-000629793,completed,24.0
T20-000958807,T20-000958807,completed,24.0
T20-000958822,T20-000958822,completed,24.0
T20-000958819,T20-000958819,completed,24.0
T10-000629791,T10-000629791,released,48.0
T10-000629791,T10-000629791,completed,48.0
T10-000629791,T10-000629791,completed,48.0
T10-000629791,T10-000629791,completed,48.0
T10-000629791,T10-000629791,completed,48.0
T10-000629791,T10-000629791,completed,48.0
T10-000629791,T10-000629791,completed,48.0
T10-000629791,T10-000629791,completed,48.0
T10-000629791,T10-000629791,completed,48.0
T20-000958803,T20-000958803,completed,48.0
T10-000629790,T10-000629790,released,24.0
T10-000629790,T10-000629790,completed,24.0
T20-000958802,T20-000958802,completed,24.0
T10-000629798,T10-000629798,completed,48.0
T10-000629798,T10-000629798,completed,48.0
T10-000629798,T10-000629798,completed,48.0
T10-000629792,T10-000629792,released,48.0
T10-000629792,T10-000629792,completed,48.0
T10-000629792,T10-000629792,completed,48.0
T10-000629792,T10-000629792,completed,48.0
T10-000629792,T10-000629792,completed,48.0
T20-000958805,T20-000958805,completed,24.0
T20-000958801,T20-000958801,completed,24.0
T20-000958820,T20-000958820,completed,200.0
T20-000958818,T20-000958818,completed,24.0
T10-000629789,T10-000629789,released,24.0
T10-000629789,T10-000629789,completed,24.0
T10-000629789,T10-000629789,completed,24.0
T10-000629789,T10-000629789,completed,24.0
T10-000629789,T10-000629789,completed,24.0
T10-000629789,T10-000629789,completed,24.0
T20-000958828,T20-000958828,completed,48.0
T20-000958829,T20-000958829,completed,24.0
T20-000958838,T20-000958838,completed,24.0
T20-000958839,T20-000958839,completed,24.0
T20-000958841,T20-000958841,completed,9.0
T20-000958835,T20-000958835,completed,24.0
T20-000958836,T20-000958836,completed,24.0
T20-000958837,T20-000958837,completed,24.0
T20-000958840,T20-000958840,completed,9.0
T20-000958843,T20-000958843,completed,9.0
T20-000958834,T20-000958834,completed,24.0
T20-000958842,T20-000958842,completed,9.0
T20-000958851,T20-000958851,completed,24.0
T10-000629799,T10-000629799,completed,24.0
T10-000629799,T10-000629799,completed,24.0
T10-000629799,T10-000629799,completed,24.0
T10-000629799,T10-000629799,completed,24.0
T10-000629799,T10-000629799,completed,24.0
T10-000629799,T10-000629799,completed,24.0
T20-000958852,T20-000958852,completed,24.0
T20-000958853,T20-000958853,completed,24.0
T20-000958854,T20-000958854,completed,100.0
T20-000958808,T20-000958808,completed,24.0
T20-000958809,T20-000958809,completed,48.0
T20-000958810,T20-000958810,completed,24.0
T20-000958811,T20-000958811,completed,48.0
T20-000958812,T20-000958812,completed,24.0
T20-000958813,T20-000958813,completed,24.0
T20-000958814,T20-000958814,completed,48.0
T10-000629780,T10-000629780,released,24.0
T10-000629780,T10-000629780,completed,24.0
T10-000629780,T10-000629780,completed,24.0
T20-000958787,T20-000958787,completed,24.0
T10-000629781,T10-000629781,released,24.0
T10-000629781,T10-000629781,completed,24.0
T10-000629781,T10-000629781,completed,24.0
T10-000629781,T10-000629781,completed,24.0
T10-000629781,T10-000629781,completed,24.0
T10-000629781,T10-000629781,completed,24.0
T20-000958788,T20-000958788,completed,24.0
T10-000629782,T10-000629782,released,24.0
T10-000629782,T10-000629782,completed,24.0
T10-000629782,T10-000629782,completed,24.0
T20-000958789,T20-000958789,completed,24.0
T10-000629783,T10-000629783,released,48.0
T10-000629783,T10-000629783,completed,48.0
T10-000629783,T10-000629783,completed,48.0
T20-000958790,T20-000958790,completed,48.0
T10-000629784,T10-000629784,released,24.0
